school_name,lat,lng
Rosyth School,1.37319,103.87468
Nanyang Primary School,1.32126,103.80767
Catholic High School (Primary Section),1.35487,103.84516
Nan Hua Primary School,1.32005,103.76192
Tao Nan School,1.30508,103.91149
Henry Park Primary School,1.31704,103.78405
Anglo-Chinese School (Primary),1.31898,103.83585
St. Hilda's Primary School,1.34993,103.93606
Raffles Girls' Primary School,1.33017,103.80626
CHIJ St. Nicholas Girls' School (Primary Section),1.37424,103.83418
Pei Hwa Presbyterian Primary School,1.33826,103.77612
Ai Tong School,1.36057,103.83268
